Business_Name,Location,Review text,Rating
Paragon,"Shanthala nagar,Bengaluru",good ambience friendly staff and great food,5.0
Paragon,"Shanthala nagar,Bengaluru",the food was very vibe and u must try coconut pudding is ultimate liked biriyani,5.0
Paragon,"Shanthala nagar,Bengaluru",taste and service is best worth the wait,5.0
Paragon,"Shanthala nagar,Bengaluru",go there for amazing seafood curriessuper yummy malabar biryanis and refreshing coolersdrinks,4.0
Paragon,"Shanthala nagar,Bengaluru",incredible consistent food the fish veg mango curry appams fish tawa fry biryani incredible very well balanced flavours,5.0
Paragon,"Shanthala nagar,Bengaluru",i love this restaurant every time i visit but this time i wanted to give review about their plum cake it tastes heavenly and i feel everyone has to give it a try,5.0
Paragon,"Shanthala nagar,Bengaluru",poor food qualitydelayed deliverystale biryanipoor food qualityand the resturants lack of responsibility,1.0
Paragon,"Shanthala nagar,Bengaluru",this place was recommended by a friend but the experience was disappointing we were seated quickly but they only gave one menu for a table of four and when we asked for another they provided the previous days menu,2.0
Paragon,"Shanthala nagar,Bengaluru",most yummiest food very expensive though,5.0
Paragon,"Shanthala nagar,Bengaluru",i cant explain the taste very tasty and very clean tables hygienicly service food good quality,5.0
Paragon,"Shanthala nagar,Bengaluru",food was good and service was impeccable wait time to get seated was long and service can be slow sometimes tried the iconic chicken biryani and fish starter it was excellent and will recommend,5.0
Paragon,"Shanthala nagar,Bengaluru",food was horrible dont understand the hype,1.0
Paragon,"Shanthala nagar,Bengaluru",most yummiest food very expensive though,1.0
Paragon,"Shanthala nagar,Bengaluru",best place in bengaluru to have kerala food,5.0
Paragon,"Shanthala nagar,Bengaluru",must try is mango fish curry and authentic biryani service is fast and quality of food is top notch,4.0
Paragon,"Shanthala nagar,Bengaluru",too good best place for kerala cuisine,5.0
Paragon,"Shanthala nagar,Bengaluru",the overall experience was great and is place that would call you back again great work paragon team,5.0
Paragon,"Shanthala nagar,Bengaluru",the food is really very good and the prices are justified the portions are also healthy,5.0
Paragon,"Shanthala nagar,Bengaluru",we went especially to try the chicken biryani it was good and portions very nice,5.0
Paragon,"Shanthala nagar,Bengaluru",visited more than 50 times most of the time keep waiting like stray dogs on the door due to this stopped the visits over there no proper reservation system there,1.0
Paragon,"Shanthala nagar,Bengaluru",it is a must visit place for kerala malabar food lovers the food is a bit expensive but quite delicious what impressed me the most was their service impeccable,5.0
Paragon,"Shanthala nagar,Bengaluru",i highly appreciate and recommend this restaurant for its excellent food options tasty food,5.0
Paragon,"Shanthala nagar,Bengaluru",food is amazing so much better than any other kerela restaurant in bangalore keep up the taste,5.0
Paragon,"Shanthala nagar,Bengaluru",it is a must visit place for kerala malabar food lovers the food is a bit expensive but quite delicious what impressed me the most was their service,4.0
Paragon,"Shanthala nagar,Bengaluru",dining,5.0
Paragon,"Shanthala nagar,Bengaluru",delicious food,5.0
Paragon,"Shanthala nagar,Bengaluru",went there for breakfast on a weekend the service is prompt and food is delicious the appams and stew took us back to kerala,5.0
Paragon,"Shanthala nagar,Bengaluru",their menu is the exact same and theyve managed to keep their standard on quality the same as well,5.0
Paragon,"Shanthala nagar,Bengaluru",i would say food and service for us was average,2.0
Paragon,"Shanthala nagar,Bengaluru",great food same taste as calicut,5.0
Paragon,"Shanthala nagar,Bengaluru",very good food good ambience like a home food very testy,5.0
Paragon,"Shanthala nagar,Bengaluru",it was one of the best things to happen when kozhikodes most famous restaurant opened up shop in central bangalore,5.0
Paragon,"Shanthala nagar,Bengaluru",we ordered a wide spread of dishes and everything turned out to be good,5.0
Paragon,"Shanthala nagar,Bengaluru",the food was insanely good after a long time had such great and authentic food going to come again many more time,4.0
Paragon,"Shanthala nagar,Bengaluru",really nice food from this legendary chain had mango curry and biryani it was hands down beating any other kerala biryani i had eaten,5.0
Paragon,"Shanthala nagar,Bengaluru",visited this restaurant for breakfast tried open butter dosa which came with coconut chutney and sambar,4.0
Paragon,"Shanthala nagar,Bengaluru",as a mallu enjoyed the food here,5.0
Paragon,"Shanthala nagar,Bengaluru",we went for a family lunch here and the food was too good and yummy,5.0
Paragon,"Shanthala nagar,Bengaluru",excellent,5.0
Paragon,"Shanthala nagar,Bengaluru",was a great experience reliving the paragon food and taste which we have devoured before in kerala,5.0
Paragon,"Shanthala nagar,Bengaluru",absabsolutely fabulous food we came in a large group and everyone thoroughly enjoyed the food,5.0
Paragon,"Shanthala nagar,Bengaluru",the food was insanely good after a long time had such great and authentic food going to come again many more time,5.0
Paragon,"Shanthala nagar,Bengaluru",all the dishes were amazing,5.0
Paragon,"Shanthala nagar,Bengaluru",horrible,1.0
Paragon,"Shanthala nagar,Bengaluru",hellocan u add more snacks options in online food deliveryits a request,5.0
Paragon,"Shanthala nagar,Bengaluru",service is very late food is average,2.0
Paragon,"Shanthala nagar,Bengaluru",over rated dining spot,3.0
Paragon,"Shanthala nagar,Bengaluru",food quantity was too low got a hair in food gave a review to staff they were not biered to even take feedbackpathetic experience,1.0
Paragon,"Shanthala nagar,Bengaluru",well served and food was delicious and tasty and i liked it very much,5.0
Paragon,"Shanthala nagar,Bengaluru",appam and chicken stew,5.0
Paragon,"Shanthala nagar,Bengaluru",the chicken was stale in the chicken biriyani and atleast 5 days old the staff just didnt care,1.0
Paragon,"Shanthala nagar,Bengaluru",food was good and service was impeccable wait time to get seated was long and service can be slow sometimes tried the iconic chicken biryani and fish starter it was excellent and will recommend,4.0
Paragon,"Shanthala nagar,Bengaluru",delicious food liked it very much,5.0
Paragon,"Shanthala nagar,Bengaluru",an unforgettable birthday dinner at paragon restaurant,5.0
Paragon,"Shanthala nagar,Bengaluru",good food and ambience for family lunches liked the biryani and elneer pudding,5.0
Paragon,"Shanthala nagar,Bengaluru",the quality of food has become so bad that its become one of the worst tasting food ive had in the recent past,4.0
Paragon,"Shanthala nagar,Bengaluru",food taste is good its can recommend have to visit if u r in bangalore,5.0
Koko,"Jeevan beema nagar,Bengaluru",great food and good service,5.0
Koko,"Jeevan beema nagar,Bengaluru",chiranjit has been extremely professional in catering to all our needs the food is extremely good and top notch highly recommended,5.0
Koko,"Jeevan beema nagar,Bengaluru",ronu was amazing serving us food and ambience is amazing they also have valley,5.0
Koko,"Jeevan beema nagar,Bengaluru",raunu was of great service he took care of us throughout very humble and kind person,5.0
Koko,"Jeevan beema nagar,Bengaluru",chiranjit was very polite helpful and friendly food was great overall had a great experience,5.0
Koko,"Jeevan beema nagar,Bengaluru",food was not good its overly hyped,1.0
Koko,"Jeevan beema nagar,Bengaluru",amazing ambience and food excellent service by mr chiranjit,5.0
Koko,"Jeevan beema nagar,Bengaluru",very good food with vegan and gluten free options,5.0
Koko,"Jeevan beema nagar,Bengaluru",the service was perfect but food was okayish,3.0
Koko,"Jeevan beema nagar,Bengaluru",dessertsssss,5.0
Koko,"Jeevan beema nagar,Bengaluru",paramesh did a great job loved the food,5.0
Koko,"Jeevan beema nagar,Bengaluru",had a great anniversary dinner at koko food was wonderful and so was the service highly recommended,5.0
Koko,"Jeevan beema nagar,Bengaluru",food was suprisingly average they do not have a baby care room which was again suprising for a fairly upscale place,4.0
Koko,"Jeevan beema nagar,Bengaluru",the service was very average for a premium restuarant like koko and the quantity was good for one kid,3.0
Koko,"Jeevan beema nagar,Bengaluru",food was not worth the price they are not keeping up with other fine dine asian restaurants,4.0
Koko,"Jeevan beema nagar,Bengaluru",dishes we ordered and loved thai lotus root gyoza pan fried momos,5.0
Koko,"Jeevan beema nagar,Bengaluru",food was not upto the mark i have no clue how is this rated 49 dishes were average,2.0
Koko,"Jeevan beema nagar,Bengaluru",had a great experience nawa was very helpful in choosing the best drinks and food on the menu,5.0
Koko,"Jeevan beema nagar,Bengaluru",outstanding food and cocktails nothing comes close to the golden maki roll that truffle flavor is just out of this world,5.0
Koko,"Jeevan beema nagar,Bengaluru",food was amazing cocktails were totally worth it definitely recommended,5.0
Koko,"Jeevan beema nagar,Bengaluru",food was good liked the ambience,5.0
Koko,"Jeevan beema nagar,Bengaluru",good place and nice food,4.0
Koko,"Jeevan beema nagar,Bengaluru",the food was really amazing mrparmesh was really good his service,5.0
Koko,"Jeevan beema nagar,Bengaluru",food was really good and the service was very quick,5.0
Koko,"Jeevan beema nagar,Bengaluru",excellent service and great food specially drinks with aesthetic ambience loved it and everything was prfect,5.0
Koko,"Jeevan beema nagar,Bengaluru",loved the food ambiance and service true authentic japanese food,5.0
Koko,"Jeevan beema nagar,Bengaluru",everything was so yum from sushi to bao single serve soupy dumplings noodles i loved everything except that the price is too high,4.0
Koko,"Jeevan beema nagar,Bengaluru",amazing food,5.0
Koko,"Jeevan beema nagar,Bengaluru",good food great service,4.0
Koko,"Jeevan beema nagar,Bengaluru",amazing amazing place,5.0
Koko,"Jeevan beema nagar,Bengaluru",amazing cocktails sushi and small plates,5.0
Koko,"Jeevan beema nagar,Bengaluru",visited koko twice food is great loved the kung pao chicken prawns tempura sushi egg fried rice and chicken in chili oil gravy,5.0
Koko,"Jeevan beema nagar,Bengaluru",we had done our bookings via zomato the place was packed and the ambience was amazing,4.0
Koko,"Jeevan beema nagar,Bengaluru",we had a wonderful dinner yesterday everything was perfect from the drinks and food to the ambience,5.0
Koko,"Jeevan beema nagar,Bengaluru",exceptional service,5.0
Koko,"Jeevan beema nagar,Bengaluru",good service and vibe food was top notch my fav kokosignature sushi,5.0
Koko,"Jeevan beema nagar,Bengaluru",the place is amazing with superb service,5.0
Koko,"Jeevan beema nagar,Bengaluru",exotic food and excellent service worth the money spent,5.0
Koko,"Jeevan beema nagar,Bengaluru",excellent food service as always,5.0
Koko,"Jeevan beema nagar,Bengaluru",amazing food and ambience and staff takes care amazingly,5.0
Koko,"Jeevan beema nagar,Bengaluru",everything was perfect whether it was the food or the ambience or the service everything was outstanding and worth experience,5.0
Koko,"Jeevan beema nagar,Bengaluru",loved the food and service as always,5.0
Koko,"Jeevan beema nagar,Bengaluru",the entire team as a matter of fact awesome food yum yum,5.0
Koko,"Jeevan beema nagar,Bengaluru",the food was great as always but the hospitality by chiranjeet was beyond amazing,5.0
Koko,"Jeevan beema nagar,Bengaluru",good food good ambiance very helpful stuff members and service was quick,5.0
Koko,"Jeevan beema nagar,Bengaluru",had a good meal chiranjit was very good at his service,5.0
Koko,"Jeevan beema nagar,Bengaluru",everything was amazing from the food till the drinks server jatin was really amazing with his service,5.0
Koko,"Jeevan beema nagar,Bengaluru",the food was really awful each dish on the menu lacked authentic flavour,2.0
Koko,"Jeevan beema nagar,Bengaluru",amazing ambience with sumptuous sushi dumplings and desserta must visit for all food lovers in bengaluru,5.0
Koko,"Jeevan beema nagar,Bengaluru",the sushi salmon harissa was one of the best ever,5.0
Koko,"Jeevan beema nagar,Bengaluru",great food brilliant service by steve one of my all time favorite asian dining experience,5.0
Koko,"Jeevan beema nagar,Bengaluru",great food great ambience great service and recommendations,5.0
Koko,"Jeevan beema nagar,Bengaluru",the food ambience is indeed amazing,4.0
Koko,"Jeevan beema nagar,Bengaluru",delectable food brilliant service special shout out to romila she was super warm and prompt never disappoints keep it up,5.0
Koko,"Jeevan beema nagar,Bengaluru",excellent food for the occasion,5.0
