Business_Name,,Location,,Review text,,,,,,,,,,Rating
CTR  Shri Sagar,,malleshwaram,,"Visited CTR Tiffin Room, Bengaluru and had an amazing experience. ",,,,,,,,,,5
CTR  Shri Sagar,,malleshwaram,,"The dosa was incredibly crispy, flavorful, and unlike any dosa I have ever had before. The taste was truly unique and memorable. ",,,,,,,,,,5
CTR  Shri Sagar,,malleshwaram,,Highly recommended for anyone visiting Bengaluru. Definitely one of the best dosa experiences I’ve had! 😊🙏,,,,,,,,,,4
CTR  Shri Sagar,,malleshwaram,,The ambience of the place feels very nostalgic and reflects the charm of the 70s era,,,,,,,,,,4
CTR  Shri Sagar,,malleshwaram,,"I recently visited Central Tiffin Rooms (CTR), Bangalore, and it once again reminded me why this place holds such a special place in the hearts of South Indian food lovers. ",,,,,,,,,,4
CTR  Shri Sagar,,malleshwaram,,"The food, as expected, was outstanding. CTR truly serves one of the best Benne Masala Dosas in the world",,,,,,,,,,4
CTR  Shri Sagar,,malleshwaram,,CTR is one of the best places in Bangalore to enjoy authentic South Indian breakfast.,,,,,,,,,,4
CTR  Shri Sagar,,malleshwaram,,Visited this beautiful old-style place in Malleswaram and it turned out to be such a lovely experience!,,,,,,,,,,5
CTR  Shri Sagar,,malleshwaram,,"If you’re someone who enjoys authentic Bangalore-style breakfast with that nostalgic charm, this place is a must-visit.",,,,,,,,,must visit,5
CTR  Shri Sagar,,malleshwaram,,"No wow factor, not worth the hype, and definitely not worth standing in a 15-20 minute queue.",,,,,,,,,,3
CTR  Shri Sagar,,malleshwaram,,"Tbh the best dosa I’ve had in Bengaluru so far, especially their Benne masala dosa. Absolutely delicious and perfectly made",,,,,,,,,,5
CTR  Shri Sagar,,malleshwaram,,106-year-old legendary breakfast spot that truly lives up to its reputation.,,,,,,,,,,5
CTR  Shri Sagar,,malleshwaram,,CTR in Malleshwaram is a legendary breakfast spot and truly reflects old-school Bengaluru charm.,,,,,,,,,,4
CTR  Shri Sagar,,malleshwaram,,Benne masala dosa was so good. They provide 2 chutneys but no sambar. ,,,,,,,,,,5
CTR  Shri Sagar,,malleshwaram,,It gives you the old vintage style vibes. Really liked the vada and filter coffee.,,,,,,,,,,3
CTR  Shri Sagar,,malleshwaram,,"Came here with high expectations due to the hype, but unfortunately, it didn’t live up to it.",,,,,,,,,,3
CTR  Shri Sagar,,malleshwaram,,You are going here for nothing but the food! The benne or ghee dosa is the best! ,,,,,,,,,,4
CTR  Shri Sagar,,malleshwaram,,This is such an amazing and authentic breakfast place in Malleswaram.,,,,,,,,,,5
CTR  Shri Sagar,,malleshwaram,,"after seeing all the hype. Honestly, it was just decent-crispy, buttery, and fine in taste, but nothing special.",,,,,,,,,,4
CTR  Shri Sagar,,malleshwaram,,The coffee was good as well. The crowd was huge however it was all resolved and everyone got place to sit and eat.,,,,,,,,,,4
CTR  Shri Sagar,,malleshwaram,,"An unpopular opinion… We tried their Benne Masala Dosa and Mangalore Bajji. But honestly, it wasn’t worth the hype.",,,,,,,,,,3
CTR  Shri Sagar,,malleshwaram,,"Went here for breakfast on a holiday. Limited seating, parking is available but limited space.",,,,,,,,,,4
