Business_Name,,Location,Review text,,,,,,Rating
Truffles,,"Koramangala,Bengaluru",Had a wonderful experience at Truffles,,,,,,5
Truffles,,"Koramangala,Bengaluru",Truffles naver disappoints,,,,,,5
Truffles,,"Koramangala,Bengaluru",Visited Truffles for lunvh with friends and had a great experience,,,,,,5
Truffles,,"Koramangala,Bengaluru",I really loved the fish n chips.It is my favourite,,,,,,4
Truffles,,"Koramangala,Bengaluru",Absolutely loved the food and ambience! The tacos were super,,,,,,5
,,,with feelings,,,,,,
Truffles,,"Koramangala,Bengaluru",Had an amazing time with Truffles.The ambience was super cozy ,,,,,,5
,,,and aesthetic with those warm hanging lights,,,,,,
Truffles,,"Koramangala,Bengaluru",The american burger and rooster burger tasted really good,,,,,,3
,,,The coffe was decent-nothing special but good enough,,,,,,
Truffles,,"Koramangala,Bengaluru",Truffles is the most go to place for lunch in koramangala,,,,,,5
Truffles,,"Koramangala,Bengaluru",Truffles in Koramangala is a classic for a reason!Their burgers are ,,,,,,4
,,,must try,,,,,,
Truffles,,"Koramangala,Bengaluru","Overall,nice place to visit.",,,,,,4
Truffles,,"Koramangala,Bengaluru","Always buzzing,specially on weekends-expect long wait times",,,,,,4
Truffles,,"Koramangala,Bengaluru",A perfect spot for delicious food without hurting your wallet,,,,,,5
Truffles,,"Koramangala,Bengaluru","Recommended,very polite and ethical management",,,,,,5
,,,Well executed layout.,,,,,,
Truffles,,"Koramangala,Bengaluru","Service:quite prompt,Atmosphere:quite comfortable.",,,,,,3
Truffles,,"Koramangala,Bengaluru",Like that it is upgraded so much to become so spacious.,,,,,,4
Truffles,,"Koramangala,Bengaluru",Loved the food and it is quite well managed or the amount of ,,,,,,5
,,,people that visit,,,,,,
Truffles,,"Koramangala,Bengaluru",Absolutely loved the experiemce at Truffles Koramanagala,,,,,,4
Truffles,,"Koramangala,Bengaluru",The place is always too crowdy whenever I visit there,,,,,,4
Truffles,,"Koramangala,Bengaluru",Very good service!!,,,,,,4
Truffles,,"Koramangala,Bengaluru",Ambience and service is great.,,,,,,3
Truffles,,"Koramangala,Bengaluru",Great restaurant….Their American cheese burger is my favourite,,,,,,
,,,They have a great range of delicious pasta and shakes as well,,,,,,5
Truffles,,"Koramangala,Bengaluru",The hype is real we will visit again definitely,,,,,,5
Truffles,,"Koramangala,Bengaluru",The place is in a really prime location but the food is not too,,,,,,4
,,,expensive,,,,,,
Truffles,,"Koramangala,Bengaluru",Truffles is agreat spot if you are craving indulgent comfort food,,,,,,5
,,,with generous portions and solid variety.,,,,,,
Truffles,,"Koramangala,Bengaluru",The service was incredibly fast and the staff was polite and,,,,,,5
,,,helpful,,,,,,
Truffles,,"Koramangala,Bengaluru","Amazing taste and services,a must try place.",,,,,,4
Truffles,,"Koramangala,Bengaluru",Food is nice.Very very very cheesy and buttery.Little expensive but,,,,,,
,,,overall is good.,,,,,,4
Truffles,,"Koramangala,Bengaluru",I visited Truffles Koramangala and absolutely loved the vibe.,,,,,be,5
Truffles,,"Koramangala,Bengaluru",This continental café stands out for it's affordable prices and wide ,,,,,,5
,,,range of delicious selections.,,,,,,
Truffles,,"Koramangala,Bengaluru",Delicious food and polite staffs.Must try all veg American cheese,,,,,,5
,,,burger,,,,,,
Truffles,,"Koramangala,Bengaluru","Truffles is a great place to visit,whether you are hungry or just in ",,,,,,4
,,,"thw mood for a snack,they have wide range of dishes.",,,,,,
Truffles,,"Koramangala,Bengaluru",Very well maintained park in the locality and it is perfect for,,,,,,5
,,,morning and evening walks as the tracks are clean.,,,,,,
Trufflles,,"Koramangala,Bengaluru",Despite the crowd nd a slight delay in the service the experience ,,,,,,5
,,,was fantastic,,,,,,
Truffles,,"Koranangala,Bengaluru",The place is not crowded on the weekdays as it gets on the,,,,,,
,,,weekends,,,,,,
Truffles,,"Koramangala,Bengaluru",We recently visited and they gave us a complimentary mango,,,,,,5
,,,desert which was their new added desert,,,,,,
Truffles,,"Koramangala,Bengaluru","Good burgers,tried their new dishes and loved it all.",,,,,,5
Truffles,,"Koramangala,Bengaluru","If you love cheese,then this might be the best plac for  ypur taste ",,,,,,4
,,,buds,,,,,,
Truffles,,"Koramangala,Bengaluru",one among the best cafe to hangout with friends and cousins.,,,,,,5
Truffles,,"Koramangala,Bengaluru",I tried chicken hotty burger here and it tasted really good.,,,,,,5
Truffles,,"Koramangala,Bengaluru",Whenever I am confused about where to eat.Truffles is my ,,,,,,5
,,,no doubt go to spot.Their burgers are legendary,,,,,,
Truffles,,"Koramangal,Bengaluru",Thia place is very famous in this area for it's affordability with the ,,,,,,4
,,,continental menu.,,,,,,
Truffles,,"Koramangala,Bengaluru",The food tastes really good and there is no doubt about it and it,,,,,,5
,,,is not overpriced about it.,,,,,,
Truffles,,"Koramangala,Bengaluru",This place is just overhyped and the food tastes below average.,,,,,,2
Truffles,,"Koramangala,Bengaluru",Here everything is served fresh nd the food is absolutely delicious,,,,,,5
Truffles,,"Koramangala,Bengaluru","I became afan after the firt bite of American cheese burger,a must",,,,,,4
,,,t try thing at Truffles.,,,,,,
Truffles,,"Koramangala,Bengaluru",fantastic quality food.,,,,,,5
Truffles,,"Koramangala,Bengaluru",I have been to truffles a few times and it has never disappointed ,,,,,,5
,,,me,,,,,,
Truffles,,"Koramangala,Bengaluru",This place sets a fine equilibrium between the quality of meals and ,,,,,,5
,,,their expense.,,,,,,
Truffles,,"Koramangala,Bengaluru",Truffles has always been that place that's perfect for brunch.,,,,,,5
Truffles,,"Koramangala,Bengaluru",Heard a lot about this place but it didn't live up to the hype for me,,,,,,3
Truffles,,"Koramangala,Bengaluru","Good service,food quality was good as well.Delivery time was",,,,,,4
,,,also quite  fast.,,,,,,
Truffles,,"Koramangala,Bengaluru",Quality of burger is excelent and decent place to chill.,,,,,,5
Truffles,,"Koramangala,Bengaluru","The apple pie was really bad, the burgers,pasta and desserts were",,,,,,3
,,,good,,,,,,
Truffles,,"Koramangala,Bengaluru",Truffles has never disappointed us when it comes to comfort food,,,,,,5
Truffles,,"Koramangala,Bengaluru","One of the best burger I have ever eaten in india,loved it.",,,,,,4
Truffles,,"Koramangala,Bengaluru",No comments or picture required!It's top notch.,,,,,,5
